,Name.1,Timestamp[ms].1,Date[MM.dd.yyyy].1,Time[hh:mm:ss.fff].1,Gpstime[ms].1,GnssStatus.1,Lat[wgs84].1,Lng[wgs84].1,Height[m].1,Heading[°].1,Velocity[m/s].1,Velocity[km/h].1,Acceleration[m/s²].1,North[m].1,East[m].1,Distance[m],YawRate[deg/s],vY[m/s],Lateral Distance[m],Forward Distance[m],GeoDistance[m],DistanceFromOrigin[m]
1025,FBl_26,35707820.0,16.06.2022,09:55:07.820,1339408507820.0,INS_SOLUTION_GOOD,50.2357047221661,14.9297264326215,199.72412109375,277.421920776367,0.0127226369684869,0.045801493086553,0.0488248692929236,-4.14654783107991,40.197853991456,0.216738087062056,-0.0812105983495712,-0.0109376021882847,0.0374586113782817,0.213476581161204,0.216738086802171,0.216738086802171
1026,FBl_26,35707830.0,16.06.2022,09:55:07.830,1339408507830.0,INS_SOLUTION_GOOD,50.2357047222853,14.9297264316678,199.724090576172,277.421897888184,0.0128699116421214,0.0463316819116371,0.0220356950050863,-4.14653457123456,40.197785952043,0.216739398448725,-0.0779924541711807,-0.0111540961265521,0.0373905717688993,0.2134898402043,0.216739398189768,0.216739398189768
1027,FBl_26,35707840.0,16.06.2022,09:55:07.840,1339408507840.0,INS_SOLUTION_GOOD,50.2357047223449,14.9297264308333,199.724044799805,277.421859741211,0.0113006570374742,0.0406823653349073,0.0172134322197092,-4.14652794060432,40.1977264174148,0.21673566765724,0.0508584231138229,-0.0091873542467515,0.037331037145184,0.213496471138508,0.216735667399095,0.216735667399095
1028,FBl_26,35707850.0,16.06.2022,09:55:07.850,1339408507850.0,INS_SOLUTION_GOOD,50.2357047224045,14.9297264299989,199.723999023438,277.421745300293,0.0118887859431073,0.0427996293951862,0.0036495152999689,-4.14652131138921,40.1976668827866,0.216731951577355,0.0111877052113414,-0.0098670035137584,0.0372715024547985,0.21350310027666,0.21673195132002,0.21673195132002
1029,FBl_26,35707860.0,16.06.2022,09:55:07.860,1339408507860.0,INS_SOLUTION_GOOD,50.2357047224641,14.9297264291048,199.723968505859,277.421684265137,0.0125317566718047,0.0451143240184971,0.0294470625539126,-4.14651468075897,40.197603095993,0.21672752232611,-0.0495290011167526,-0.0106479200654429,0.0372077154226186,0.213509729837955,0.216727522069642,0.216727522069642
1030,FBl_26,35707870.0,16.06.2022,09:55:07.870,1339408507870.0,INS_SOLUTION_GOOD,50.2357047225833,14.9297264282703,199.723922729492,277.42163848877,0.0110730786239864,0.0398630830463512,0.0332009746632325,-4.14650142162119,40.1975435613648,0.216730374858962,0.0544899143278599,-0.009053930006818,0.0371481811896065,0.213522991525484,0.216730374603302,0.216730374603302
1031,FBl_26,35707880.0,16.06.2022,09:55:07.880,1339408507880.0,INS_SOLUTION_GOOD,50.2357047227025,14.9297264273763,199.723892211914,277.421813964844,0.0122293509259612,0.0440256633334602,0.0776899851048175,-4.14648816106827,40.1974797743442,0.216732513809934,-0.0437786392867565,-0.0105042677615456,0.037084393797891,0.213536250244709,0.216732513555138,0.216732513555138
1032,FBl_26,35707890.0,16.06.2022,09:55:07.890,1339408507890.0,INS_SOLUTION_GOOD,50.2357047228217,14.9297264264226,199.723846435547,277.421882629395,0.0115380861226437,0.0415371100415172,0.0805442747870544,-4.14647490051536,40.1974117347042,0.216733947054409,-0.007006861269474,-0.0098747652246341,0.0370163539695425,0.213549510031135,0.216733946800533,0.216733946800533
1033,FBl_26,35707900.0,16.06.2022,09:55:07.900,1339408507900.0,INS_SOLUTION_GOOD,50.2357047229409,14.9297264254689,199.72380065918,277.422248840332,0.0108297788793721,0.0389872039657397,0.0349242795413872,-4.14646164067001,40.1973436955182,0.216735401801864,0.0238338280469179,-0.0093337960384892,0.0369483145889179,0.213562769071775,0.216735401548907,0.216735401548907
1034,FBl_26,35707910.0,16.06.2022,09:55:07.910,1339408507910.0,INS_SOLUTION_GOOD,50.2357047230601,14.9297264244556,199.723754882813,277.42211151123,0.0120443154503538,0.0433595356212737,0.0278663166844376,-4.14644838011709,40.1972714034858,0.216736159375898,-0.0887606590986252,-0.0106999863694786,0.0368760229715737,0.213576032366899,0.216736159123914,0.216736159123914
1035,FBl_26,35707920.0,16.06.2022,09:55:07.920,1339408507920.0,INS_SOLUTION_GOOD,50.2357047231197,14.9297264233828,199.723709106445,277.42162322998,0.0120600613992327,0.0434162210372378,0.0484768261384808,-4.14644175090199,40.1971948590611,0.216729681753757,-0.0746342316269875,-0.0108067637462381,0.0367994784444002,0.213582661352757,0.216729681502803,0.216729681502803
1036,FBl_26,35707930.0,16.06.2022,09:55:07.930,1339408507930.0,INS_SOLUTION_GOOD,50.2357047231793,14.9297264223695,199.723663330078,277.421279907227,0.0110777754768948,0.0398799917168212,0.0552228258094603,-4.14643512097931,40.1971225670288,0.216723952117409,0.0060854093171656,-0.0097276538570339,0.0367271862542205,0.213589290702699,0.216723951867426,0.216723951867426
1037,FBl_26,35707940.0,16.06.2022,09:55:07.940,1339408507940.0,INS_SOLUTION_GOOD,50.2357047233582,14.9297264212966,199.723617553711,277.421676635742,0.0104959312701109,0.0377853525723994,0.028771490250376,-4.14641522979616,40.1970460226041,0.216730595765964,0.0313965268433094,-0.0090666853423668,0.0366506413397731,0.213609179396718,0.216730595517006,0.216730595517006
1038,FBl_26,35707950.0,16.06.2022,09:55:07.950,1339408507950.0,INS_SOLUTION_GOOD,50.235704723537,14.9297264202833,199.723556518555,277.421775817871,0.010888154360559,0.0391973556980125,0.0160361954316716,-4.14639534002813,40.1969737307987,0.216737989106153,-0.0249168444424868,-0.009546606293271,0.0365783498544026,0.213629071374215,0.216737988858162,0.216737988858162
