,FilePath,%NaN,NuberOfFrozen_Signal,TimestampDrops,MaxTimestampDrops,JumpsInVelocity
124,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrm\50\30\TRIAL_220621_094253_00692_FBl_26_AUTOSAVE.trial,2.1922428330522767,14,62,40.0,0.0
125,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrm\50\30\TRIAL_220621_094407_00694_FBl_26_AUTOSAVE.trial,5.7354925775978405,41,154,30.0,0.0
126,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrm\50\50\TRIAL_220621_094556_00696_FBl_26_AUTOSAVE.trial,15.590551181102363,14,318,90.0,0.0
127,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrm\50\50\TRIAL_220621_094709_00698_FBl_26_AUTOSAVE.trial,3.0551181102362204,68,85,40.0,0.0
128,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrm\50\50\TRIAL_220621_094823_00700_FBl_26_AUTOSAVE.trial,7.496062992125985,20,194,70.0,0.0
129,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrm\50\80\TRIAL_220621_094945_00702_FBl_26_AUTOSAVE.trial,5.12609649122807,31,176,40.0,0.0
130,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrm\50\80\TRIAL_220621_095109_00704_FBl_26_AUTOSAVE.trial,8.360745614035087,78,236,50.0,0.0
131,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrm\50\80\TRIAL_220621_095216_00706_FBl_26_AUTOSAVE.trial,1.2609649122807016,28,37,40.0,0.0
132,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut10 ufo30\TRIAL_220621_123200_00746_FBl_26_AUTOSAVE.trial,18.723761544920233,7,340,80.0,0.0
133,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut10 ufo30\TRIAL_220621_123618_00750_FBl_26_AUTOSAVE.trial,2.7765726681127982,35,60,30.0,0.0
134,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut10 ufo45\TRIAL_220621_133816_00794_FBl_26_AUTOSAVE.trial,1.6497937757780277,12,40,30.0,0.0
135,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut10 ufo45\TRIAL_220621_133942_00796_FBl_26_AUTOSAVE.trial,1.4727540500736376,17,19,30.0,0.0
