,index,Name.1,Timestamp[ms].1,Date[MM.dd.yyyy].1,Time[hh:mm:ss.fff].1,Gpstime[ms].1,GnssStatus.1,Lat[wgs84].1,Lng[wgs84].1,Height[m].1,Heading[°].1,Velocity[m/s].1,Velocity[km/h].1,Acceleration[m/s²].1,North[m].1,East[m].1,Distance[m],YawRate[deg/s],vY[m/s],Lateral Distance[m],Forward Distance[m],GeoDistance[m],DistanceFromOrigin[m],Velocity_Status,Velocity_
2678,2691,FBl_26,35724480.0,16.06.2022,09:55:24.480,1339408524480.0,INS_SOLUTION_GOOD,50.2357063300014,14.9297035150528,199.730651855469,276.005355834961,0.819608004731747,2.95058881703429,0.060856159189627,-3.96770251544322,38.5628100754227,0.207659496489592,-0.787642359733582,-0.0144985706921008,0.207239440054539,-0.013201547793836,0.207659496239088,1.64505299846712,Failed,2934.3013459684335
2679,2692,FBl_26,35724490.0,16.06.2022,09:55:24.490,1339408524490.0,INS_SOLUTION_GOOD,50.2357063356638,14.9297034011483,199.730438232422,275.996841430664,0.821888312311625,2.95879792432185,0.180387869373852,-3.96707266288325,38.5546836105868,0.207346770359273,-0.832816660404205,-0.0166945022089957,0.206936780987925,-0.0130327184432045,0.207346770111483,1.65309573240563,Failed,2944.803026527501
2680,2693,FBl_26,35724500.0,16.06.2022,09:55:24.500,1339408524500.0,INS_SOLUTION_GOOD,50.2357063412666,14.9297032868266,199.730224609375,275.988189697266,0.824701109375576,2.96892399375207,0.2433903087018,-3.96644943812325,38.5465273780964,0.207023588912587,-0.905464231967926,-0.0175304813897427,0.206624126651779,-0.0128544369855985,0.207023588667637,1.66116686716537,Failed,2949.5647465678653
2681,2694,FBl_26,35724510.0,16.06.2022,09:55:24.510,1339408524510.0,INS_SOLUTION_GOOD,50.2357063469291,14.9297031723261,199.730072021484,275.979629516602,0.824424969720307,2.9679298909931,0.177039907296938,-3.96581958556328,38.5383583884288,0.206706010201379,-0.857248425483704,-0.0173526184620389,0.206316603099512,-0.0126820281784428,0.20670600995917,1.66925302571347,Failed,2949.2016604693226
2682,2695,FBl_26,35724520.0,16.06.2022,09:55:24.520,1339408524520.0,INS_SOLUTION_GOOD,50.2357063524723,14.9297030578256,199.729827880859,275.97078704834,0.824756861581203,2.96912470169233,0.246698612631561,-3.96520299143351,38.5301893987612,0.206376656929462,-0.794263124465942,-0.0170400537380956,0.20599589956507,-0.0125305143073661,0.206376656689728,1.6773371018003,Failed,2950.9086713967686
2683,2696,FBl_26,35724530.0,16.06.2022,09:55:24.530,1339408524530.0,INS_SOLUTION_GOOD,50.2357063580751,14.9297029432654,199.729675292969,275.962310791016,0.825618902610193,2.97222804939669,0.334991457942116,-3.96457976808865,38.5220161567012,0.206054340742548,-0.848318934440613,-0.016905619418392,0.205681316244558,-0.0123930379201419,0.206054340505081,1.68542791317127,Failed,2959.709610974959
2684,2697,FBl_26,35724540.0,16.06.2022,09:55:24.540,1339408524540.0,INS_SOLUTION_GOOD,50.2357063635588,14.9297028283477,199.729522705078,275.953086853027,0.828463840939065,2.98246982738063,0.485677753827735,-3.96396980388156,38.5138173996061,0.205715756598624,-0.856371760368347,-0.0183850539531882,0.205350624830953,-0.0122512569862279,0.205715756363496,1.69354145053211,Failed,2968.869686260616
2685,2698,FBl_26,35724550.0,16.06.2022,09:55:24.550,1339408524550.0,INS_SOLUTION_GOOD,50.2357063690424,14.9297027130723,199.729309082031,275.94401550293,0.831053188823338,2.99179147976402,0.384581143655982,-3.96335984038204,38.5055931277027,0.205373981284017,-0.887525856494904,-0.0183678593083791,0.205017020727182,-0.0121034418662568,0.2053739810513,1.70168083551834,Failed,2977.040006578099
2686,2699,FBl_26,35724560.0,16.06.2022,09:55:24.560,1339408524560.0,INS_SOLUTION_GOOD,50.2357063747048,14.9297025974989,199.729125976563,275.935676574707,0.832516778752347,2.99706040350845,0.0963269728454134,-3.96272998569936,38.4973475936104,0.205049352547441,-0.798691809177399,-0.0160436990632523,0.204700767342467,-0.01195126499947,0.205049352317149,1.70984655129419,Failed,2980.092867813129
2687,2700,FBl_26,35724570.0,16.06.2022,09:55:24.570,1339408524570.0,INS_SOLUTION_GOOD,50.2357063803673,14.9297024818063,199.729034423828,275.928237915039,0.833510413206641,3.00063748754391,0.083437191605208,-3.96210013313939,38.4890935545064,0.204724457334101,-0.840813994407654,-0.0187561732308388,0.204383518116983,-0.0118102015014832,0.204724457106084,1.71802153517024,Failed,2984.136746036984
